Test Event,Type,COI,MOE,Design Point,Sorter (Ignore),Maneuver Group,Scenario Inject Complexity,Time of Day,Focus Position,Cyber Compromise,MOP1,MOP2,MOP3,MOP4,MOP5,MOP6,MOP7,MOP8,MOP9,Survey Count,Event Type,Aircrew Flight Equipment
L3408,Log,3,4,8,34.8,WSO - LASDT,None,,Log,Log,6,7,8,12,14,15,,,,1,Simulator,
V3408,Vary,3,4,8,34.8,ACM,None,,WST,None,6,7,8,12,14,15,,,,5,Simulator,
L3409,Log,3,4,9,34.9,WSO - OCA,None,,Log,Log,6,7,8,12,14,15,,,,1,Simulator,
V3409,Vary,3,4,9,34.9,ACM,None,,OFT,None,6,7,8,12,14,15,,,,5,Simulator,
L3501,Log,3,5,1,35.1,WSO - BSA - Container,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3501,Vary,3,5,1,35.1,BSA - Container,None,,WST,None,1,12,20,21,22,,,,,5,Simulator,
L3510,Log,3,5,10,35.1,Log,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3510,Vary,3,5,10,35.1,CAS,None,,WST,None,1,12,20,21,22,,,,,5,Simulator,
V3511,Vary,3,5,11,35.11,CAS,None,,OFT,None,1,12,20,21,22,,,,,5,Simulator,
V3512,Vary,3,5,12,35.12,CAS,None,,UTD,None,1,12,20,21,22,,,,,5,Simulator,
V3513,Vary,3,5,13,35.13,LATF,None,,WST,None,1,12,20,21,22,,,,,5,Simulator,
V3514,Vary,3,5,14,35.14,LATF,None,,OFT,None,1,12,20,21,22,,,,,5,Simulator,
V3515,Vary,3,5,15,35.15,LATF,None,,UTD,None,1,12,20,21,22,,,,,5,Simulator,
L3502,Log,3,5,2,35.2,WSO - SA - Pop,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3502,Vary,3,5,2,35.2,BSA - Container,None,,OFT,None,1,12,20,21,22,,,,,5,Simulator,
L3503,Log,3,5,3,35.3,WSO - SAT,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3503,Vary,3,5,3,35.3,BSA - Container,None,,UTD,None,1,12,20,21,22,,,,,5,Simulator,
L3504,Log,3,5,4,35.4,WSO - CAS,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3504,Vary,3,5,4,35.4,SA - Pop,None,,WST,None,1,12,20,21,22,,,,,5,Simulator,
L3505,Log,3,5,5,35.5,WSO - LATF,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3505,Vary,3,5,5,35.5,SA - Pop,None,,OFT,None,1,12,20,21,22,,,,,5,Simulator,
L3506,Log,3,5,6,35.6,Log,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3506,Vary,3,5,6,35.6,SA - Pop,None,,UTD,None,1,12,20,21,22,,,,,5,Simulator,
L3507,Log,3,5,7,35.7,Log,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3507,Vary,3,5,7,35.7,SAT,None,,WST,None,1,12,20,21,22,,,,,5,Simulator,
L3508,Log,3,5,8,35.8,Log,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3508,Vary,3,5,8,35.8,SAT,None,,OFT,None,1,12,20,21,22,,,,,5,Simulator,
L3509,Log,3,5,9,35.9,Log,None,,Log,Log,1,12,20,21,22,,,,,1,Simulator,
V3509,Vary,3,5,9,35.9,SAT,None,,UTD,None,1,12,20,21,22,,,,,5,Simulator,
L4101,Log,4,1,1,41.1,,None,,,Log,2,3,4,5,6,7,8,9,10,1,Simulator,
L4102,Log,4,1,2,41.2,,None,,,Log,2,3,4,5,6,7,8,9,10,1,Simulator,
L4103,Log,4,1,3,41.3,,None,,,Log,2,3,4,5,6,7,8,9,10,1,Simulator,
L4104,Log,4,1,4,41.4,,None,,,Log,2,3,4,5,6,7,8,9,10,1,Simulator,
L5201,Log,5,2,1,52.1,,None,,,,22,24,28,29,31,,,,,1,Simulator,
L5202,Log,5,2,2,52.2,,None,,,,22,24,28,29,31,,,,,1,Simulator,
